1  0.000000
2  0.100000
3  0.200000
4  0.400000
5  0.800000
6  1.500000
7  2.600000
8  3.900000
9  5.900000
10  8.800000
11  12.400000
12  17.200000
13  23.300000
14  30.900000
15  40.200000
16  51.400000
17  65.000000
18  81.000000
19  114.500000
20  137.400000
21  161.800000
22  189.800000
23  223.100000
24  260.000000
25  301.400000
26  347.500000
27  402.100000
28  459.800000
29  523.300000
30  593.800000
31  669.500000
32  752.800000
33  854.000000
34  960.900000
35  1068.400000
36  1185.600000
37  1311.400000
38  1454.700000
39  1596.800000
40  1763.600000
41  1928.600000
42  2116.400000
43  2302.400000
44  2501.000000
45  2715.600000
46  2944.700000
47  3186.400000
48  3445.200000
49  3719.700000
50  4010.700000
51  4321.100000
52  4653.900000
53  5000.600000
54  5367.900000
55  5760.800000
56  6185.500000
57  6624.500000
58  7080.700000
59  7564.800000
60  8074.300000
61  8610.300000
62  9170.200000
63  9756.300000
64  10374.200000
65  11018.600000
66  11691.500000
67  12400.800000
68  13139.500000
69  13906.600000
70  14711.100000
71  15561.500000
72  16435.000000
73  17394.200000
74  18382.900000
75  19409.900000
76  20479.200000
77  21601.100000
78  22763.200000
79  23963.300000
80  25218.000000
81  26512.200000
82  27869.800000
83  29263.200000
84  30699.700000
85  32203.100000
86  33749.400000
87  35349.800000
88  36995.700000
89  38641.000000
90  40343.300000
91  42104.800000
92  43921.000000
93  45855.500000
94  47841.900000
95  49817.300000
96  51955.100000
97  54058.600000
98  56346.300000
99  58609.500000
